"OCCP","mean_age_2016","unemployed_rate_2016","total_employ_2016","employ_prse_2016","jobs_per_1000_2016","mean_hourly_2016","mean_annual_2016","mean_prse_2016","mean_age_2019","unemployed_rate_2019","total_employ_2019","employ_prse_2019","jobs_per_1000_2019","mean_hourly_2019","mean_annual_2019","mean_prse_2019","emp_growth","wage_growth","shortage_ind","shortage","ACS Occupational Title"
"7950",48.5340760933981,8.36790328315752,9170,5.2,3.269,17.5,36400,1.2,45.2990816579796,11.8391660461653,10600,3.9,3.692,19.56,40690,1.2,0.564698684613032,0.558928571428571,0,"No Shortage","Cutting, punching, and press machine setters, operators, and tenders, metal and plastic"
"800",45.643663991547,1.72331379405771,21300,2.2,7.592,31.76,66070,0.7,47.6971532404603,3.78125811196677,22390,1.7,7.802,34.26,71260,0.8,0.513830347734457,0.539276524897836,0,"No Shortage","Accountants and auditors"
"8030",47.7250014227989,0.717090660747823,15210,4.5,5.423,20.1,41810,0.8,47.326437862404,0.54850336937784,11670,4.8,4.067,20.66,42980,1.1,0.37497695002766,0.513991867974169,0,"No Shortage","Machinists"
"8140",43.4661877631905,6.5106101890843,16100,8.85,5.74,20.35,42325,3.05,40.3426890637182,2.46296690055993,16200,9.3,5.642,20.57,42780,2.1,0.491463414634146,0.505375073833432,0,"No Shortage","Welding, soldering, and brazing workers"
"8300",49.1097992916175,7.0543093270366,3650,11.1,1.3,10.9,22670,2.8,45.3079617834395,5.76433121019108,3510,7.7,1.221,12.13,25240,1.7,0.469615384615385,0.556682840758712,0,"No Shortage","Laundry and dry-cleaning workers"
"8710",39.6997866504115,2.34684547394087,3780,25.55,1.346,15.605,32455,1.95,47.2318772136954,0.944510035419126,2620,19.45,0.911,16.325,33955,3.7,0.338410104011887,0.523108920043137,0,"No Shortage","Cutting workers"
"8740",42.9676044683492,6.91352916839057,14770,4.2,5.264,18.75,39000,0.9,44.9489323767882,3.72288491743431,17950,2.5,6.255,19.94,41470,0.8,0.594129939209726,0.531666666666667,0,"No Shortage","Inspectors, testers, sorters, samplers, and weighers"
"8800",42.8790386477683,1.15327053437803,16790,6,5.985,15.64,32530,1.3,41.032048121487,3.7767478552411,24360,6,8.488,16.9,35160,1.5,0.709106098579783,0.540424223793421,0,"No Shortage","Packaging and filling machine operators and tenders"
"9130",49.1977012904677,4.25997504959405,73330,4.73333333333333,26.141,16.7,34733.3333333333,2.03333333333333,50.1982553442365,2.76218966307837,74880,7.26666666666667,26.091,17.9533333333333,37333.3333333333,2.16666666666667,0.499043647909414,0.53742802303263,0,"No Shortage","Driver/sales workers and truck drivers"
"9600",41.2310836455647,2.15074692229089,12120,5.8,4.32,16.99,35330,0.9,43.6628151260504,2.99119647859144,13530,5.1,4.715,19,39520,1.1,0.545717592592593,0.559298046985565,1,"Shortage","Industrial truck and tractor operators"
"9610",37.5106407063618,9.03328050713154,6990,4.4,2.492,12.96,26950,1.8,34.8819461749315,1.95614253675554,6790,5.5,2.367,13.79,28690,1.4,0.47491974317817,0.532282003710575,0,"No Shortage","Cleaners of vehicles and equipment"
"9620",38.1382587201318,5.4957429277671,52690,3.2,18.783,15.01,31210,0.7,37.6586913663778,5.33345776512721,56750,3.4,19.774,16.62,34570,0.6,0.526380237448757,0.553828900993271,0,"No Shortage","Laborers and freight, stock, and material movers, hand"
"9640",38.1915070774355,9.03136275326117,19670,7.6,7.014,12.99,27010,2.8,39.4516129032258,2.63385433987363,16030,17.2,5.586,13.71,28510,1.8,0.398203592814371,0.527767493520918,0,"No Shortage","Packers and packagers, hand"
